ID,AREA,MCD,COUNTY,MCD_NAME,TYPE,POP2000,SRTSFUNDED,SRTSUNFUND,STIPFUNDED,STIPUNFUND,TTLFUNDED,TTLUNFUND,POINT_X,POINT_Y
563506.00000000000,1.04000000000,2708313564,27083,Cottonwood,City,1148.00000000000,1,1,0,0,1,1,-95.67053338900,44.60508749370
563773.00000000000,1.93000000000,2717325280,27173,Granite Falls,City,2048.00000000000,1,0,5,0,6,0,-95.55149247730,44.81112522990
539273.00000000000,1.09000000000,2717311656,27173,Clarkfield,City,944.00000000000,1,1,0,0,1,1,-95.80783528340,44.79079021390
504140.00000000000,35.34000000000,2708338834,27083,Lyons,Township,208.00000000000,0,0,1,0,1,0,-95.89574349160,44.32700998640
481083.00000000000,1.05000000000,2707339266,27073,Madison,City,1768.00000000000,1,1,0,0,1,1,-96.18870152490,45.01276889900
511627.00000000000,10.06000000000,2708340688,27083,Marshall,City,12778.00000000000,0,1,6,0,6,1,-95.78994615350,44.44774558260
430435.00000000000,0.97000000000,2708128430,27081,Hendricks,City,725.00000000000,0,0,1,0,1,0,-96.42709258240,44.50859626180
464902.00000000000,2.20000000000,2717309604,27173,Canby,City,1903.00000000000,1,1,1,0,2,1,-96.26950378990,44.71483203120
488109.00000000000,1.47000000000,2707314968,27073,Dawson,City,1539.00000000000,1,1,2,0,3,1,-96.04868597340,44.92861810630
556484.00000000000,4.85000000000,2702343720,27023,Montevideo,City,5396.00000000000,1,0,2,0,3,0,-95.71568207590,44.95082930530
556579.00000000000,39.14000000000,2702361582,27023,Sparta,Township,764.00000000000,0,0,1,0,1,0,-95.66038899590,44.93365448230
579431.00000000000,1.87000000000,2702325280,27023,Granite Falls,City,1045.00000000000,0,0,2,0,2,0,-95.51081671460,44.80678520750
579721.00000000000,35.71000000000,2702327656,27023,Havelock,Township,189.00000000000,0,0,1,0,1,0,-95.55356246590,45.02111381960
717513.00000000000,35.94000000000,2704138510,27041,Lund,Township,355.00000000000,0,0,0,2,0,2,-95.70738482860,46.06391776050
668986.00000000000,5.00000000000,2714944242,27149,Morris,City,5194.00000000000,1,0,0,0,1,0,-95.90416358210,45.58609367860
703686.00000000000,2.07000000000,2705129474,27051,Hoffman,City,672.00000000000,0,0,1,0,1,0,-95.78754828410,45.83405117070
710404.00000000000,0.58000000000,2705102422,27051,Ashby,City,472.00000000000,1,1,0,0,1,1,-95.81561349820,46.09304682570
710523.00000000000,35.16000000000,2704119916,27041,Evansville,Township,244.00000000000,0,0,1,0,1,0,-95.70724250060,45.97698947010
903570.00000000000,38.96000000000,2709310486,27093,Cedar Mills,Township,501.00000000000,0,0,1,0,1,0,-94.56868197170,44.93570752910
825716.00000000000,2.33000000000,2712948256,27129,Olivia,City,2570.00000000000,1,0,0,0,1,0,-94.98760976570,44.77803223460
780701.00000000000,5.35000000000,2712753656,27127,Redwood Falls,City,5494.00000000000,0,1,1,0,1,1,-95.10571415980,44.54234228050
780893.00000000000,36.76000000000,2712749894,27127,Paxton,Township,571.00000000000,0,0,1,0,1,0,-95.04561004090,44.50160342270
841000.00000000000,2.02000000000,2701560844,27015,Sleepy Eye,City,3515.00000000000,0,0,2,0,2,0,-94.72439092530,44.29914269440
851528.00000000000,18.61000000000,2710354430,27103,Ridgely,Township,126.00000000000,0,0,1,0,1,0,-94.66395785150,44.42551387980
1093359.00000000000,2.21000000000,2714500622,27145,Albany,City,1809.00000000000,0,0,0,1,0,1,-94.56740921300,45.62962734100
947457.00000000000,34.11000000000,2706725694,27067,Green Lake,Township,1466.00000000000,0,0,1,0,1,0,-94.94014563140,45.18799343720
947826.00000000000,1.24000000000,2706745682,27067,New London,City,1097.00000000000,2,0,0,0,2,0,-94.94120722070,45.30082036500
981743.00000000000,0.80000000000,2712167144,27121,Villard,City,244.00000000000,0,0,1,0,1,0,-95.26936367360,45.71395845750
981997.00000000000,24.82000000000,2704100946,27041,Alexandria,Township,3255.00000000000,0,0,2,0,2,0,-95.30850928440,45.89200484120
1064362.00000000000,1.47000000000,2714503070,27145,Avon,City,1278.00000000000,0,1,0,0,0,1,-94.45105661550,45.60883078720
1000748.00000000000,4.24000000000,2714558648,27145,Sauk Centre,City,3890.00000000000,0,1,0,0,0,1,-94.95264548250,45.73737429220
927284.00000000000,35.29000000000,2712111332,27121,Chippewa Falls,Township,231.00000000000,0,0,1,1,1,1,-95.31643289830,45.54210799950
1056533.00000000000,32.34000000000,2714567630,27145,Wakefield,Township,3030.00000000000,0,0,1,0,1,0,-94.44444336910,45.42769321460
1056721.00000000000,2.69000000000,2714512484,27145,Cold Spring,City,3040.00000000000,0,1,2,0,2,1,-94.43012151450,45.45665652290
1028526.00000000000,2.31000000000,2714549966,27145,Paynesville,City,2300.00000000000,0,0,2,0,2,0,-94.72800691360,45.37410100900
1028593.00000000000,33.43000000000,2714549984,27145,Paynesville,Township,1343.00000000000,0,0,2,0,2,0,-94.70105578980,45.35137664670
1050516.00000000000,1.05000000000,2714554268,27145,Richmond,City,1179.00000000000,1,1,1,3,2,4,-94.51387572030,45.45284405060
1159826.00000000000,1.99000000000,2704369106,27043,Wells,City,2545.00000000000,1,1,0,0,1,1,-93.72777315660,43.74294597060
1142922.00000000000,3.35000000000,2704306688,27043,Blue Earth,City,3622.00000000000,1,0,0,0,1,0,-94.10056727380,43.64031018700
1138330.00000000000,0.31000000000,2701301324,27013,Amboy,City,572.00000000000,1,1,0,0,1,1,-94.15812079960,43.88785857010
1209138.00000000000,1.18000000000,2704724056,27047,Glenville,City,656.00000000000,0,1,0,0,0,1,-93.28175977110,43.57396372400
1281107.00000000000,35.24000000000,2709936638,27099,Le Roy,Township,396.00000000000,0,0,0,1,0,1,-92.50909511990,43.54366475110
1229924.00000000000,11.88000000000,2709902908,27099,Austin,City,23644.00000000000,1,1,4,1,5,2,-92.97416177170,43.67207687580
1293386.00000000000,3.08000000000,2710962806,27109,Stewartville,City,5402.00000000000,1,1,0,0,1,1,-92.48903135370,43.86022983650
2222555.00000000000,35.63000000000,2700326738,27003,Ham Lake,City,12691.00000000000,0,1,1,0,1,1,-93.20389909680,45.25445786870
2212633.00000000000,2.02000000000,2700361996,27003,Spring Lake Park,City,6669.00000000000,0,0,1,0,1,0,-93.24563980160,45.11617093960
2212751.00000000000,4.11000000000,2712344530,27123,Mounds View,City,12750.00000000000,0,0,1,0,1,0,-93.20774635420,45.10711766840
2268194.00000000000,35.92000000000,2716330392,27163,Hugo,City,6366.00000000000,0,1,0,0,0,1,-92.95876386900,45.16711983830
2268324.00000000000,35.47000000000,2716321770,27163,Forest Lake,City,14442.00000000000,2,1,3,0,5,1,-92.95812416940,45.25358909390
2262748.00000000000,2.40000000000,2700310648,27003,Centerville,City,3194.00000000000,0,1,0,0,0,1,-93.05406661190,45.16377388300
2231675.00000000000,47.87000000000,2700317486,27003,East Bethel,City,10938.00000000000,0,1,0,0,0,1,-93.20353502010,45.35553792880
2209971.00000000000,1.75000000000,2716304114,27163,Bayport,City,3162.00000000000,0,1,0,0,0,1,-92.78333579840,45.01675558790
2210022.00000000000,23.29000000000,2700313114,27003,Coon Rapids,City,61550.00000000000,0,1,1,0,1,1,-93.30944141650,45.17555605310
1844947.00000000000,36.33000000000,2717157346,27171,St. Michael,City,9120.00000000000,0,1,0,0,0,1,-93.71273578670,45.19493723150
1845088.00000000000,3.44000000000,2717126990,27171,Hanover,City,1045.00000000000,0,1,3,2,3,3,-93.66729292940,45.16064442120
1693266.00000000000,32.83000000000,2717113222,27171,Corinna,Township,2451.00000000000,0,0,1,0,1,0,-94.07301345920,45.28384289890
1693388.00000000000,2.26000000000,2717140220,27171,Maple Lake,City,1643.00000000000,0,0,0,2,0,2,-94.00567840050,45.23335846260
1634896.00000000000,10.52000000000,2705324308,27053,Golden Valley,City,20286.00000000000,1,1,2,0,3,1,-93.35898369880,44.99003486360
1629314.00000000000,15.94000000000,2705318188,27053,Edina,City,47434.00000000000,1,1,3,0,4,1,-93.36020024840,44.89134906480
2122441.00000000000,5.74000000000,2716339428,27163,Mahtomedi,City,7575.00000000000,1,0,0,0,1,0,-92.96598595200,45.06151057700
1884478.00000000000,3.78000000000,2709552522,27095,Princeton,City,3960.00000000000,2,1,3,0,5,1,-93.58843240850,45.57494109220
2113804.00000000000,8.56000000000,2712369970,27123,White Bear Lake,City,23979.00000000000,0,1,2,0,2,1,-93.01530469620,45.06546326690
1891683.00000000000,34.95000000000,2705340166,27053,Maple Grove,City,50360.00000000000,1,1,1,0,2,1,-93.46253886800,45.10880328610
1891852.00000000000,25.02000000000,2705315022,27053,Dayton,City,4692.00000000000,1,0,0,0,1,0,-93.47562925430,45.19036558260
2076371.00000000000,9.63000000000,2712302026,27123,Arden Hills,City,9652.00000000000,1,1,1,0,2,1,-93.16707720370,45.07219571820
2054881.00000000000,3.51000000000,2700312700,27003,Columbia Heights,City,18518.00000000000,2,1,1,0,3,1,-93.24975857530,45.04275658470
2055088.00000000000,7.04000000000,2712345430,27123,New Brighton,City,22205.00000000000,1,1,1,0,2,1,-93.20609629910,45.06580565170
1902545.00000000000,26.51000000000,2705307966,27053,Brooklyn Park,City,67388.00000000000,0,1,3,0,3,1,-93.34039290690,45.11942283940
